,Unnamed: 0,urls,captions,comments,likes,labels
10,10,https://scontent-sea1-1.cdninstagram.com/vp/e9cdfd14fc9b267c013ee12c17b78813/5C7769A4/t51.2885-15/sh0.08/e35/s750x750/46037076_2260820950856258_1566194625240415692_n.jpg?ig_cache_key=MTkxMTYyNzA0MTAzNjM0NzY0OQ%3D%3D.2,"Photo by Charlie Hamilton James @chamiltonjames | A lone male elephant reaches for fresh leaves in the branches in Gorongosa National Park, Mozambique, last week. We all know about the threats facing elephants and their decline in many parks across Africa. But in Gorongosa, elephant numbers are recovering. Years of civil war wiped out much of the park's wildlife, and poaching persisted until recently. However, increased security and investment into the park and the people who live in and around it have brought life back and now the park is thriving again. The story of Gorongosa will be featured in @natgeo magazine next year.",1210,301508,"['ecosystem', 'tree', 'vegetation', 'wildlife', 'nature reserve', 'fauna', 'wilderness', 'shrubland', 'woodland', 'grass']"
11,11,https://scontent-sea1-1.cdninstagram.com/vp/593e49a9bebc8d4e98aec7d23e48e4f5/5C666FED/t51.2885-15/sh0.08/e35/s750x750/43279670_318512078984684_6307217358134910766_n.jpg?ig_cache_key=MTkxMTU0OTA5MjA0Mzk4NzYwNg%3D%3D.2,"Photo by Robbie Shone @shonephoto | 5 a.m. on the first morning on Wegener Halvø peninsula as sea fog rolls in over Nathorst Fjord. We continued our watches on land in 2.5-hour shifts, mostly observing musk oxex, though looking out for bigger furry white creatures too. It was a great opportunity for me to take photographs, though my partners were less enthusiastic at being awake in the middle of the night. Chris is seen here starting his watch, wandering off toward the cook/food tent to see what may be approaching in the midst. #EAGRE18  @greenland_caves",364,223897,"['sky', 'horizon', 'sea', 'calm', 'morning', 'dawn', 'loch', 'sunrise', 'atmosphere', 'highland']"
12,12,https://scontent-sea1-1.cdninstagram.com/vp/06f7ed2c60788004ec33ad3bd06f14ab/5C638E49/t51.2885-15/sh0.08/e35/p750x750/44476740_737731329923457_2664644330079233041_n.jpg?ig_cache_key=MTkxMTQ3MDgwNDI4NjgxMDIwMA%3D%3D.2,"Photo by Muhammed Muheisen @mmuheisen | Meral, a 9-year-old Afghan refugee girl who dreams of becoming a queen. I portrayed Meral on November 5, 2018, in a camp north of Athens. For more photos and videos of the refugee crisis, follow me @mmuheisen @everydayrefugees and @mmuheisenpublic #muhammedmuheisen  #everydayrefugees ",2037,443850,"['beauty', 'girl', 'eye', 'brown hair', 'long hair', 'black hair', 'model', 'portrait', 'portrait photography', 'photo shoot']"
13,13,https://scontent-sea1-1.cdninstagram.com/vp/6ce40515435ebd511d3fd52488e75d5c/5C82DD4B/t51.2885-15/sh0.08/e35/s750x750/44425913_332360227345333_5699665124018424614_n.jpg?ig_cache_key=MTkxMTM4MTM1MjU1NzYxMTgwMg%3D%3D.2,"Photo by @BrianSkerry | A young harbor seal peeks at me over a mound of surf grass at Cortes Banks, a range of underwater mountains located 100 miles off the coast of San Diego, CA. This location, well known for stormy weather and giant waves, is a hotspot of biodiversity with an abundance of marine life found here. Places like this are oases of life in the sea, where each animal plays a role. Yet such places could easily be destroyed by a single fishing trawl net being dragged through it or by undersea drilling, and few would ever know it existed. Naturalist John Muir once said, """"When one tugs at a single thing in nature, he finds it attached to the rest of the world.” Throughout my career of exploring our planet and especially the oceans, I have found this to be true: Everything is connected and every creature matters. Follow @BrianSkerry and visit the undersea world! #cortesbanks  #johnmuir  #california  #marineprotection  #seals  #harborseal  #seamounts ",2063,565934,"['ecosystem', 'green', 'underwater', 'marine biology', 'fauna', 'organism', 'seaweed', 'fish', 'water', 'algae']"
14,14,https://scontent-sea1-1.cdninstagram.com/vp/e8c8b017680c9c2a2d86405747d1598e/5BEEDDAC/t51.2885-15/sh0.08/e35/s750x750/44420003_287615098541948_8959236136371717298_n.jpg,"Wild_Life with @bertiegregory | Once factories of death, the abandoned whaling stations on the Island of South Georgia are now packed full of life. Fur seals, elephant seals and penguins, once hunted, now live amongst the ruins. This island is living proof that with protection and a lot of hard work, it is possible for wild places to come back from the brink. One part of South Georgia’s resurrection is still missing though; watch this week’s episode of Wild_Life to find out more. // Check out the new season of Wild_Life at natgeo.com/wildlife.",762,215530,
15,15,https://scontent-sea1-1.cdninstagram.com/vp/829c469edd037926c24c7141b4dfb139/5C725D95/t51.2885-15/sh0.08/e35/s750x750/44547765_1118195558360466_3719188911642646155_n.jpg?ig_cache_key=MTkxMTEwOTgwODM5MzM1MjcwMQ%3D%3D.2,"Photo by @TimLaman | A Buffy Fish Owl triggers my camera trap on a natural treefall over a river in Borneo’s Gunung Palung National Park. I currently have a set of camera traps operating in a remote part of this spectacular lowland rain forest for my latest @NatGeo Society project. Why? Gunung Palung has one of the best remaining lowland rain forests in all of Borneo, and I want to tell the story of the richness of the biodiversity there, especially the species few people get to see. I’m going out to Indonesia every few months, but in between, my team members from @saveGPorangutans and #TamanNasionalGunungPalung  are monitoring my cameras and sending exciting reports from time to time about what we are getting. If you are curious about all of the equipment I use to get these shots, please take a look @TimLaman where I have shared a series of behind-the-scenes shots. #cameratrap  #owl  #Indonesia  #GunungPalung  #Borneo ",642,226317,"['fauna', 'bird', 'beak', 'wildlife', 'wood', 'organism', 'darkness', 'tree']"
16,16,https://scontent-sea1-1.cdninstagram.com/vp/907905d7aaf59ab805e5d94dd6eb9030/5C68FF83/t51.2885-15/sh0.08/e35/s750x750/43985465_517127418805436_8170159218533020344_n.jpg?ig_cache_key=MTkxMTAyMTM0MTE4NTY2NTkxMg%3D%3D.2,Photo by @edkashi | Scene from the Tarantsy River in Madagascar. Image made as part of the 2010 @Prix_Pictet Commission. Photo by @edkashi #edkashi  #Madagascar  #PrixPictet  #fromthearchives  #tbt  #travel  #onassignment  #environment  #sustainability  #azafady ,661,291040,"['reflection', 'water', 'sky', 'cattle like mammal', 'wildlife', 'tree', 'landscape', 'bank', 'rock', 'plant']"
17,17,https://scontent-sea1-1.cdninstagram.com/vp/f43b8a189b520219c9e5abc08bf7ddd4/5C66717E/t51.2885-15/sh0.08/e35/s750x750/43118913_117534309160874_4571336913712466898_n.jpg?ig_cache_key=MTkxMDkzMDU1NTQ1MDM2OTY3Nw%3D%3D.2,"Photo by @PaulNicklen | Every single dive is a different experience, and I am driven by the adrenaline that comes with exploring the mystery of our oceans. My encounter with this male orca in Norway was a highlight of my career. He swam within mere inches of me and kept disappearing into the dark water before racing toward me and faking me out again and again. He playfully reacted when I jerked my head back during one of his passes. I live for these kinds of interactions. To experience the personality and charisma of an apex predator on their terms. My team and I are back in Norway to continue where we left off in 2016, photographing these beautiful creatures. It is a privilege to share the water with them, and I hope to return with images and stories that will inspire and give justice to this species and their ecosystem. #FollowMe  at @PaulNicklen for more photos of orcas and to follow along with this exciting expedition. #Norway  #orca  #ocean  #underwaterphotography ",1334,387169,"['water', 'marine mammal', 'marine biology', 'whales dolphins and porpoises', 'fin', 'organism', 'underwater', 'whale', 'sea']"
18,18,https://scontent-sea1-1.cdninstagram.com/vp/3b6cd7d4bdffb1ed8ea4fe0914034788/5C7B1429/t51.2885-15/sh0.08/e35/s750x750/43984894_1150782015072754_6514778234187808783_n.jpg?ig_cache_key=MTkxMDgzNzc0MTU2NzYxOTY2Ng%3D%3D.2,"Photo by Muhammed Muheisen @mmuheisen | Kasumi doesn’t want her hair to be brushed. I was on the world’s only floating animal sanctuary while on assignment for @natgeo in Amsterdam. De Poezenboot, which is Dutch for “the Catboat” hosts around 50 stray and abandoned cats, 17 of which are permanent residents that have lived on the boat for several years. For more photos and videos from different parts of the world, follow me @mmuheisen and @mmuheisenpublic #muhammedmuheisen ",1560,221035,"['cat', 'small to medium sized cats', 'cat like mammal', 'whiskers', 'kitten', 'fur', 'carnivoran']"
19,19,https://scontent-sea1-1.cdninstagram.com/vp/f053ecb643c97a90b4fb949db01b5b9f/5C72C992/t51.2885-15/sh0.08/e35/s750x750/43133967_2049509995069435_7828997130275473943_n.jpg?ig_cache_key=MTkxMDc2MjQwODgzOTcxMjAwMQ%3D%3D.2,"Photo by Federico Rios @historiassencillas | Two brothers rest together inside a crowded shelter for indigenous migrants constructed by the United Nations. Here the Warao can tie their hammocks. Within days of the shelter’s construction, more than 700 refugees arrived to occupy the space. Many spent days traversing Venezuela from north to south, finally reaching the border with Brazil. See more @historiasencillas and in the November issue of National Geographic Magazine. #refugees  #Brazil  #Venezuela ",469,191682,"['hammock', 'leisure', 'vacation', 'fun', 'recreation']"
20,20,https://scontent-sea1-1.cdninstagram.com/vp/1cfc180dd037a6dae70b336a2149239d/5C752393/t51.2885-15/e15/s640x640/44000076_2204725636519273_3299286298838128549_n.jpg?ig_cache_key=MTkxMDY1NjUzNDA0NTQyNDE2Mg%3D%3D.2,"Photo by @pedromcbride | First Snow: There is nothing like the dance of the seasons. A grove of golden aspen trees is blanketed by an early fall dusting. To see more, follow @pedromcbride #fall  #snow  #nature  #color  #silence ",613,334072,"['wilderness', 'winter', 'geological phenomenon', 'sky', 'leaf', 'morning', 'tundra', 'snow', 'frost', 'freezing']"
21,21,https://scontent-sea1-1.cdninstagram.com/vp/2cd1d20edc6133c1ae35ab93e2336d8c/5C6486A1/t51.2885-15/sh0.08/e35/s750x750/44253927_369100943859747_436780190759213741_n.jpg?ig_cache_key=MTkxMDU2ODQzNDQwOTQyNDA5OQ%3D%3D.2,"Photo by @ladzinski | Relics from a century ago, whale bones decorate the pebbly shores on a remote island in the #Antarctic  Peninsula, a haunting reminder of the excessive hunting during the whaling years. Walking around the iceless scene here was equally as shocking to me as I looked around at the evidence humans had left behind. The big melt, it’s happening. Photographed on assignment for @natgeo, please take the time to read the story in this month's issue written by @craigwelch to learn how deeply Antarctica is being affected. @sea_legacy @paulnicklen @cristinamittermeier @andy_mann",612,325298,"['rock', 'sky', 'badlands', 'mountain', 'formation', 'landscape', 'geology', 'national park', 'archaeological site', 'stock photography']"
22,22,https://scontent-sea1-1.cdninstagram.com/vp/87a580cafd03fe559e5cb2ca275647cc/5C820812/t51.2885-15/sh0.08/e35/s750x750/43985381_2182757538648545_7227969193767829468_n.jpg?ig_cache_key=MTkxMDQ5MTgzOTExMTkxNDk0Ng%3D%3D.2,"Phone photo by @gabrielegalimbertiphoto | Castiglion Fiorentino, Italy, my hometown. It's always nice to come here for a few days and spend time with family and friends after weeks of traveling while on assignment for National Geographic. Tuscany is a perfect place to recharge and prepare for the next project. #tuscany  #italy  #home  #hill  #hills  #green  #nature  #fog  #morninglight ",599,291583,"['sky', 'cloud', 'mountainous landforms', 'highland', 'mountain', 'hill station', 'hill', 'tree', 'morning', 'mountain range']"
23,23,https://scontent-sea1-1.cdninstagram.com/vp/1034340a3d3b9edf082b74aa8d0bae60/5C82E8AB/t51.2885-15/sh0.08/e35/p750x750/44230423_323978408429599_8700487934822872553_n.jpg?ig_cache_key=MTkxMDQxNTUzOTAzNDY3MzcwNw%3D%3D.2,"Photo by @renan_ozturk | Figures on a landscape. One of the things I love about climbing is the community and inclusiveness within it. This is where it all started for me, and I was taken in by the tribe, and the place I come back to in order to check in and grow. This past trip was all about giving that back to others with new experiences like new desert crack climbers. In the spirit of our lost friends Micah, Dean, Bean, Stanley, Johnny, Hayden, we rage on, burning every moment of each day with wonder and gratitude. Follow @renan_ozturk for more images from the climbing life.",797,402345,"['rock', 'sky', 'badlands', 'geological phenomenon', 'landscape', 'geology', 'formation', 'mountain', 'terrain', 'butte']"
24,24,https://scontent-sea1-1.cdninstagram.com/vp/351ea1bdf260c7b11a2f04dbf7ac3bab/5C732EE0/t51.2885-15/sh0.08/e35/p750x750/44323370_2066542390073523_2315536811872058026_n.jpg?ig_cache_key=MTkxMDMzOTUzNDQ0NjM4MTYxMA%3D%3D.2,"Follow Aaron Huey @argonautphoto on assignment in the slot canyons of #EscalanteNationalMonument  in Utah today. On his feed he will be showing sites that were recently removed or otherwise affected when the monument was shrunk by nearly 50 percent and split into three smaller units by executive order. The Zebra slots here (carved over thousands of years by water in red and white striped sandstone) were not removed, but the trail to get to them, and the larger buffer area around them, were removed. This opens the area for potential resource extraction in the future. Photo credit: Drew Ludwig Follow @argonautphoto in the coming days for other views and videos from these slots! (Note on access and climbing: The slot canyons of Escalante involve a great deal of climbing to get in and out, no surfaces were marked or damaged in this image or on this assignment, and climbing is not just allowed in all these slots, it's necessary to get out!)",4738,1174215,"['wood', 'hardwood', 'wood stain']"
25,25,https://scontent-sea1-1.cdninstagram.com/vp/403f529a66c64bd2c47c6738857aaf2b/5C639DFD/t51.2885-15/sh0.08/e35/s750x750/44309799_1959790280779843_4982848590566674933_n.jpg?ig_cache_key=MTkxMDI2ODEyNzUxOTYyOTE1MQ%3D%3D.2,"Photo by @TasneemAlsultan | She’d walk in to the tune of a majestic song curated especially for her. Sometimes earlier, but that still means it has to be after 9 p.m. After all, the ballroom must be full to the brim with her female guests, all to congratulate her and witness her regal entrance into the hall. #bride  #weddings  #marriage  #riyadh  #saudiarabia ",667,298833,"['light', 'lighting', 'light fixture', 'darkness', 'column', 'wood', 'night', 'window', 'chapel', 'place of worship']"
26,26,https://scontent-sea1-1.cdninstagram.com/vp/97af8c9f0000a4dc8e9bcad5965677b5/5C63B2E8/t51.2885-15/sh0.08/e35/s750x750/43608722_332529937524333_1371012790905371808_n.jpg?ig_cache_key=MTkxMDE4OTc5MjE0Nzk0ODY4OA%3D%3D.2,"Photo by @simoncroberts | The """"green"""" exterior of a store on Myeongdong street in Seoul, South Korea, decorated with more than 50,000 pots of plants. Myeongdong is Seoul's main shopping district, popular with young people and tourists. After the Korean War, the country's economy expanded rapidly, and so did the population of Seoul. Many department stores, shops, restaurants, and shopping centers set up businesses in the Myeongdong area to keep up with this increasing demand. It is now estimated that the floating population of the district is up to two million people a day, and in terms of floorspace rents, Myeongdong is one of the most expensive shopping areas in the world. Follow @simoncroberts to see more photographs from this series and other works. #SimonRoberts  #Myeongdong  #SouthKorea  #Seoul  #urbanlandscapes ",611,161985,"['crowd', 'urban area', 'pedestrian', 'city', 'metropolitan area', 'street', 'neighbourhood', 'downtown', 'metropolis', 'tree']"
27,27,https://scontent-sea1-1.cdninstagram.com/vp/72876b5184d9b9050bd0a2daabfc9b41/5C6E20E5/t51.2885-15/sh0.08/e35/s750x750/43820710_1147898368695445_256942763357505337_n.jpg?ig_cache_key=MTkxMDExNTQ4ODk2MTI3MTY3Nw%3D%3D.2,Photo by George Steinmetz @geosteinmetz | The half moon rose around 11 p.m. while I slept out in the White Desert. The bedrock here is composed of soft white chalk that has been sculpted by strong winds into strange and beautiful shapes. So excited to be back in Egypt to do some paragliding. To see what I find follow @geosteinmetz,1117,447725,"['sky', 'star', 'desert', 'landscape', 'rock', 'atmosphere', 'aeolian landform', 'sand', 'earth', 'formation']"
28,28,https://scontent-sea1-1.cdninstagram.com/vp/f9a9b89f459b75764a2dba562b9df4ce/5C6EA65A/t51.2885-15/sh0.08/e35/s750x750/45865103_292349728053428_1581884583286859399_n.jpg?ig_cache_key=MTkxMDAzOTAzOTA0NzYyMzUxNg%3D%3D.2,"Photo by @ismailferdous | Tamina and Alex organize a house warming party on Reformation holiday in their new garden house in Kleingartenverein Schießstand e.v. in Hamburg. Their neighbor Bernd appears in the party with his Halloween costume. October 31 is the Reformation Day observed as a public holiday in seven states in Germany. It commemorates when German monk and theologian Martin Luther’s proposals were nailed on the doors of a church in 1517. This event was the start of religious and social changes in Europe. On this holiday, adults and children in Germany celebrate Halloween and Reformation Day at the same time. #ReformationDay  #halloween  #Germany  #gardenhouse ",418,214366,"['campfire', 'bonfire', 'fire', 'tradition', 'night', 'event', 'recreation', 'darkness', 'flame']"
29,29,https://scontent-sea1-1.cdninstagram.com/vp/04905e383ac922ecf6239a91e8cfeb0c/5C6389CB/t51.2885-15/e15/s480x480/44284879_1268904396580674_1620718985865534890_n.jpg?ig_cache_key=MTkwOTk2MTg4MjU0MzU4ODQ2NA%3D%3D.2,"Photo by @dguttenfelder | Mrs. Kotajima, age 100, Mrs. Uehara, 84, and Mrs. Shimizu, 92 share their elder care home with companion puppy and baby seal robots. The popular science fiction of many cultures depicts the rise of robots as an ominous threat. But the Japanese have long portrayed robots as friends and heroes and embrace humanoid robot technology. Increasingly, the Japanese are looking to robotic solutions for society's needs. On assignment for @natgeo in Tokyo.",2184,289799,"['play', 'child', 'toddler', 'furniture']"
30,30,https://scontent-sea1-1.cdninstagram.com/vp/526b004891439bc85711e9364f5217ae/5C6D80B4/t51.2885-15/e15/c180.0.720.720/s480x480/44697231_253319978682804_7287758808031804055_n.jpg?ig_cache_key=MTkwOTg4NzAwNzU5MDIzOTYzOQ%3D%3D.2.c,"Photo by @nicholesobecki | Chinese workers build the Doraleh Multipurpose Port, which will be the largest of eight ports in Djibouti and the site of China's first overseas military base. As the sun set over the Red Sea I watched as workers scrambled to construct this $590 million project, which is now complete. In Djibouti’s capital, China’s base is just a few kilometers from Camp Lemmonier, America’s largest military outpost in Africa. Flanked by Yemen, Eritrea, Ethiopia and Somalia, Djibouti is viewed as a haven in the unstable Horn of Africa and hosts armed forces from around the world. #military  #base  #djibouti  #china  #nicholesobecki ",379,114956,"['water', 'sky', 'screenshot', 'advertising', 'pc game', 'recreation', 'computer wallpaper']"
31,31,https://scontent-sea1-1.cdninstagram.com/vp/9ede1c4b11a3035ccb36f893918e4931/5C6792E1/t51.2885-15/e15/c180.0.720.720a/s480x480/43984929_185857355683280_800049823769638049_n.jpg?ig_cache_key=MTkwOTgxMDkwNzE5NTYwNDExOQ%3D%3D.2.c,"Photo by Lynn Johnson @ljohnphoto // #sponsored  by @bayerofficial // These are the women of Pink Steel. Every woman in this boat is a survivor of breast cancer. They are all ages—from mid 20’s to mid 70’s. Younger women may contribute more physical power but elders hold the center with will, encouragement and guts. Aging in this group is a testament to survival. They never give up in the boat as they didn’t give up on their very lives and so are models for all who paddle. The women gather often to practice for competitions—testimony to the healing energy of community. If one person hesitates, the cry goes up, “just get in the boat.” The boat is their rescue craft, the river in all its unpredictable patterns and currents, the challenge. Knowing the women in this boat was a privilege. I still remember the sheer power of each surge, a confirmation that labels of age and diagnosis are meaningless in the Pink Steel dragon boat. // The challenges of the future are being worked on right now. In celebration of #worldscienceday , explore some of the exciting ideas that are being developed to help build a better tomorrow. Visit natgeo.com/questionsforabetterlife.",598,117591,"['team sport', 'personal protective equipment', 'sports', 'product', 'team', 'competition event', 'lifejacket', 'finger', 'recreation', 'fun']"
