,date,author,quote,comment
53,June 2014,Michaell,"@graphicguy said:
Found out they had a shortage of teachers (which peaked my wife's interest) and pharmacists. Ordinarily, they fill positions as much as possible with the natives. But, as their saying goes there, the biggest Bermudean Exports are people anr Rum. So, there are opportunities for both. Unless yoiu're of Bermudan ancestry, you can't own land. And, as one South African pharmicist told us, she could have her work visa withdrawn at any time if things change. But, she's been there 5 years, so far.","I actually spoke to one of the residents who was running a jewelry shop (all hand designed) in St George. She said she was looking to move. As she put it, it is a tiny island, and everyone knows everyone else's business, to the point of intrusion."
54,June 2014,stickguy,No Quote,"Replying how I was shocked anyone would like to move from such a great place, the artist told me it was a scene out of ""Twilight Zone"" for her.....where she felt imprisoned by the island's ""tiny-ness"", regardless of its great beauty."
55,June 2014,driver100,"@bwia said:
An exotic purchase may be coming soon
In an earlier post I mentioned that I was considering ordering a used car directly from Japan for my Caribbean home. I am using a local broker and he sent me the below link.
I went through the website and this white 1999 automatic, two-door, 4WD model caught my eye. It looks clean inside and out, especially the headlights. The mileage at 60,800 miles seems very reasonable. Price, including cost, insurance, and freight (CIF) US$ 4,600. http://www.picknbuy24.com/detail/TOYOTA/RAV4/16859.html
Like *Driver100, I want to have my own wheels rather than spend $70.00 a day on rentals. It's a risk but one I am willing to take.
Any thoughts?",Moral of the story.....never assume paradise is as beautiful to live in as it is to look at.
56,June 2014,driver100,"@abacomike said:
sterlingdog said:

""My claim to fame on this new site will be the fact that I arrived here all by myself and even bookmarked it successfully. As most of you know, this is quite a feat for me!""

Richard, we are all very proud of you for navigating here on your own without guidance or help.

It's going to be hard, at first, remembering the title of this new forum thread. If you asked me right now to provide you with the title, I could not without looking at it physically.","GG: I, too, was quite enamored of Bermuda. Had similar intersting conversations with the Manager of a small art gallery in the Hamilton Princess hotel. Walked everywhere local in Southampton and used the free water shuttle between the Southampton and Hamilton Princess."
57,June 2014,oldfarmer50,"@bwia said:
An exotic purchase may be coming soon
In an earlier post I mentioned that I was considering ordering a used car directly from Japan for my Caribbean home. I am using a local broker and he sent me the below link.
I went through the website and this white 1999 automatic, two-door, 4WD model caught my eye. It looks clean inside and out, especially the headlights. The mileage at 60,800 miles seems very reasonable. Price, including cost, insurance, and freight (CIF) US$ 4,600. http://www.picknbuy24.com/detail/TOYOTA/RAV4/16859.html
Like *Driver100, I want to have my own wheels rather than spend $70.00 a day on rentals. It's a risk but one I am willing to take.
Any thoughts?","I liked the odd (to me) assortment of small cars, the IIRC, the Pugeout hard top convertibles. Or maybe Renaults? Mostly, the relaxed atmosphere (when not in a taxi/van!), beautiful warm water and, as you noted, equally warm people."
58,June 2014,robr2,"@driver100 said:
Bermuda is beautiful. I believe they produce electricity from using generators that are in the ocean....work off ocean currents. Sounds like quite a system.","LD...saw the Peugot covertible. Also interesting, saw modern MGs/Rovers there, too. Surprised there were no ""SMART"" cars, though."
59,June 2014,oldfarmer50,@Michaell said:,"Found out they had a shortage of teachers (which peaked my wife's interest) and pharmacists. Ordinarily, they fill positions as much as possible with the natives. But, as their saying goes there, the biggest Bermudean Exports are people anr Rum. So, there are opportunities for both. Unless yoiu're of Bermudan ancestry, you can't own land. And, as one South African pharmicist told us, she could have her work visa withdrawn at any time if things change. But, she's been there 5 years, so far."
60,June 2014,oldfarmer50,No Quote,We'll go back...probably sooner rather than later.
61,June 2014,stickguy,No Quote,it's a stick. So of course worth more!
62,June 2014,graphicguy,"@oldfarmer50 said:
What am I missing? Who would spend that kind of money for a car with that milage...even a Honda? Not to mention that the seller is a dealer posting in the ""by owner"" section.
http://albany.craigslist.org/cto/4522981291.html","what can I say. Honda's get crazy money, even with lots of miles. That one probably has a lot of life left in it too. at least you don't have to worry about the AT crapping out on you."
63,June 2014,graphicguy,@Michaell said:,No one shies away from big mile Hondas!
64,June 2014,graphicguy,"@stickguy said:
Speaking of rum, I still have a few bottles each of light and dark Goslings 151 rum in the basement. From my honeymoon. So quite aged at this point. That is some powerful stuff. Rum swizzles that will burn your nose hairs.",Michaell...that had to be a tough decision. Any particular reason you couldn't take the dogs with you?
65,June 2014,Michaell,"@graphicguy said:
Michaell...that had to be a tough decision. Any particular reason you couldn't take the dogs with you?",Stick...did a rum cruise while in Bermuda...sponsored bpy Goslings. That 151 put us back in our cruise cabin early.
66,June 2014,stever,No Quote,"we didn't look into it that closely ... and my wife was looking or a ""smaller"" job at the time, not a bigger one"
67,June 2014,bwia,@bwia said: An exotic purchase may be coming soon,"@abacomike, missed your reply earlier - we hit the art museum today and enjoyed a ""small paintings"" exhibit from Cheech Marin's collection. We're heading back to the UP tomorrow, having enjoyed a nice spell of ""mild"" weather here this week - don't think it got over 95."
68,June 2014,graphicguy,@Michaell said:,The AC on the '09 Grand Caravan we picked up a few weeks back is blowing nice and cold at 125k.
69,June 2014,sterlingdog,@bwia said:,In an earlier post I mentioned that I was considering ordering a used car directly from Japan for my Caribbean home. I am using a local broker and he sent me the below link.
70,June 2014,sterlingdog,@graphicguy said:,"I went through the website and this white 1999 automatic, two-door, 4WD model caught my eye. It looks clean inside and out, especially the headlights. The mileage at 60,800 miles seems very reasonable. Price, including cost, insurance, and freight (CIF) US$ 4,600. http://www.picknbuy24.com/detail/TOYOTA/RAV4/16859.html"
71,June 2014,Michaell,"@sterlingdog said:
While you are wondering, I'll help you out a little on shipping your personal belongings. One car will be around $2,000 to $3,000 and, depending on poundage, expect to pay a minimum of $5,000 for a SMALL house load. With furniture, it's often better to purchase new when you arrive in the country. You can sell it to an x-pat if you decide to come home. Same with the car. American cars are often sought after to use as taxies. Personally, I would ship nothing and keep my home here, at least for 2 or 3 years. If you decide to stay forever, you can sell your home here later. During the interim, you can rent your home here or just put a monitor on it and watch it from Bermuda. Rent in Bermuda won't be cheap. Teaching school there will be different. Moving to another country is a MAJOR decision---requires much thought and preparation.","Like *Driver100, I want to have my own wheels rather than spend $70.00 a day on rentals. It's a risk but one I am willing to take."
72,June 2014,graphicguy,@sterlingdog said:,Any thoughts?
73,June 2014,bwia,"@sterlingdog said:
Like your daughter, I,too, am a little dismayed that you would purchase a 15 year old car sight unseen from overseas. I don't wish to dampen your buying spirit, but age is age.
Though the appearance and mileage seem attractive, I would have to wonder about all of the inner workings and hidden parts. What do you know at this point about the transmission, braking system, ac/heat system, undercarriage rust, etc. Another factor is that you can't run down to see the dealer if there is a major problem with your purchase.
I could be wrong, but I think that you are a bit unsure yourself. Remember---if in doubt, don't act. Best wishes with this decision.",Excellent point but how does one verify that the car is not from that area? I believe the Japanese government had placed a moratorium on the movement of people and property from the Fukushima area to prevent such incidents.
74,June 2014,abacomike,No Quote,"Nonetheless, the price, appearance and mileage is extremely attractive to me, though one of my daughter's is dismayed that I would consider buying a 15 year old vehicle."
75,June 2014,Michaell,@graphicguy said:,"Michaell....we spoke about what it would take to pack up and move to Bermuda (not very seriously). Sell my house. Packup and move belongings/cars, etc 1200 miles to Bermuda. Find a place to rent (not alowed to buy). I can't even fathom what it would cost to move that much, that distance, over water."
76,June 2014,cdnpinhead,"@graphicguy said: . . .but Florida just doesn't ""do it"" for me.","The wife could teach. Me? Not sure if I could do what I do there. It certainly would mean a lot more traveling for me, if I could even swing it. I told her I could set up a little shop over by the Dockyards or in Hamilton to sell internet service, water, etc. I know there is a wifi provider by the cruise ship docks. But, it's not very far reaching and pretty darn slow. I know I could do better. P:lus, selling refreshments and souvenirs sounds like a low stress job for me (something I'd welcome)."
77,June 2014,sterlingdog,"@abacomike said:
graphicguy said:

""No offense to Mike, but Florida just doesn't ""do it"" for me.""

I got news for you, the part of Florida I live in doesn't do it for me either. But Ponte Vedra Beach would. That's where my brother lives - 25 miles south of Jacksonville and 35 miles north of St. Augustine - perfect!

The weather in the fall and winter is similar to that in NC and SC and coastal GA. Very little traffic and a perfect climate.

There are some very nice places in FL if you look carefully. Panama Beach is another great place to live.",Hmmmmm???????? I wonder!!!!!!!!!!!!
78,June 2014,abacomike,No Quote,"Like your daughter, I,too, am a little dismayed that you would purchase a 15 year old car sight unseen from overseas. I don't wish to dampen your buying spirit, but age is age. Though the appearance and mileage seem attractive, I would have to wonder about all of the inner workings and hidden parts. What do you know at this point about the transmission, braking system, ac/heat system, undercarriage rust, etc. Another factor is that you can't run down to see the dealer if there is a major problem with your purchase. I could be wrong, but I think that you are a bit unsure yourself. Remember---if in doubt, don't act. Best wishes with this decision."
79,June 2014,Michaell,"@sterlingdog said:
BTW, BIL has passed his six month survival mark by two weeks. I think that he's trying to hold out for the children who arrive from Dubai next Wednesday. Only 5 more days and we'll pray for each one of those.",Richard
80,June 2014,isellhondas,No Quote,"While you are wondering, I'll help you out a little on shipping your personal belongings. One car will be around $2,000 to $3,000 and, depending on poundage, expect to pay a minimum of $5,000 for a SMALL house load. With furniture, it's often better to purchase new when you arrive in the country. You can sell it to an x-pat if you decide to come home. Same with the car. American cars are often sought after to use as taxies. Personally, I would ship nothing and keep my home here, at least for 2 or 3 years. If you decide to stay forever, you can sell your home here later. During the interim, you can rent your home here or just put a monitor on it and watch it from Bermuda. Rent in Bermuda won't be cheap. Teaching school there will be different. Moving to another country is a MAJOR decision---requires much thought and preparation."
81,June 2014,abacomike,No Quote,Richard
82,June 2014,isellhondas,"@isellhondas said:
That post already got flagged and removed.",All excellent advice.
83,June 2014,oldfarmer50,@isellhondas said:,"In our brief discussion, we figured we'd keep everything we have in Colorado - daughter would continue to live in it - and rent what we needed in Bermuda. Given that the wife's new salary would have been almost 3x what she was making at the time, we could have afforded a 1 or 2 bedroom place there."
84,June 2014,abacomike,No Quote,I was fascinated with the choice in cars - lots of things not available in the US. Though I suspect that a scooter would suffice for a majority of the transportation needs.
85,June 2014,abacomike,No Quote,"Richard and MIcheall....just day dreaming. That would be a HUGE lifestyle change. Not that it would be a bad one. But, I'm pretty tied to the lifestyle and geographic area I live in now."
86,June 2014,stickguy,No Quote,"If I were in my 20s? Maybe even 30s? No wife? I could see myself chucking it all here and making that move, though."
87,June 2014,abacomike,No Quote,"Besides, I would own the biggest car on the island, as well as the most unique. Don't recall seeing any Acura TLs there."
88,June 2014,snakeweasel,"@Kirstie_H said:
This is the all-new continuation of ""Stories from the Sales Frontlines."" The focus of that discussion has evolved over the years, so we're making the title more inclusive, asking members to post stories from the perspective of each side of the transaction.","In the past I've given some serious thought to movign to Puerto Rico....U.S. holding, tropical climate, cosmopolitan area."
89,June 2014,snakeweasel,"@stickguy said:
speaking of missing money, recently someone that works with my wife said she saw out name on the NJ missing funds list. Apparently there is a website where you can search by name to see what comes up. She must have had some, so looked for other people she knew. And out name popped up.","When I was talking about that, friends asked why I just didn't move to Florida."
90,June 2014,snakeweasel,"@Michaell said:
Was it perhaps too hot to have the tops down on the convertibles?","No offense to Mike, but Florida just doesn't ""do it"" for me."
91,June 2014,abacomike,No Quote,A few years ago my sister would have been all over that. She was a rural route carrier for the post office and would have loved to have gotten another right hand drive truck.
92,June 2014,snakeweasel,"@bwia said:
Any thoughts?",Or they could do what Mackinac Island did and outright ban motorized vehicles.
93,June 2014,snakeweasel,"@robr2 said:
It's more than that - it's a 150% tax and each household is allowed to own only 1 car. There's also an annual road tax based on the vehicle size that ranges from $250 to $1600 a year. The goal of course is to reduce congestion. It's a tiny island.",Next month we are taking a long weekend and going up there with our bikes to tour the island.
94,June 2014,snakeweasel,"@stickguy said:
Speaking of rum, I still have a few bottles each of light and dark Goslings 151 rum in the basement. From my honeymoon. So quite aged at this point.",Hate to tell you this but once a spirit is bottled it stops aging.
95,June 2014,stever,No Quote,"We keep talking about going over there before we move from the UP in a couple of months. And we do drive right by the ferry docks when we go visit family in TN and VA that way (we're above da bridge). But, we didn't make it to Isle Royale either."
96,June 2014,snakeweasel,"@abacomike said:
Snake, over the years on the SFTSF forum, we did talk about buying and selling. The problem is that we've all heard and read about those experiences and we have nothing left to post except when someone does buy a car or shops for one.","Once we move to NM, the plan was to buy a new downsized car, but the used van we just got is working out well so far. So who knows."
97,June 2014,oldfarmer50,No Quote,"Oh I am very well aware of that, but of late if we didn't talk about other things the forum we would be a long way from 100K posts on SFTSF forum."
98,June 2014,bwia,"@abacomike said:
""""SERVICE REMINDERS""""
About a week ago, a message alert popped up on my screen which stated the next ""A Service"" was due in 170 days. There are 2 types of service - an A and a B. Then, today, another message popped up stating the next ""A Service"" was due in 4500 miles.
My question is why does it alert me in ""days"" to the next service and ""miles"" to the next service? Sometimes days, sometimes miles. Why not one or the other?
Any ideas about how this works?","Well, I guess it's proof that they can go the distance but would you buy it?
http://albany.craigslist.org/cto/4509646903.html"
99,June 2014,ray80,"@bwia said:
Nice marketing gimmick that basically boils down to a few oil changes.","I am inclined to agree with with *stickguy; its miles or days which ever comes first. This leads to another question, why MB does not alert you by email as GM does with OnStar? The OnStar report shows the status for a number of engine functions including telematics and tire pressure."
100,June 2014,stickguy,No Quote,"Speaking of service, I read the Buick Encore 24-month ""free service"" a little closer. It says a maximum of four free services in the 2-year period and it does not include air filters. Nice marketing gimmick that basically boils down to a few oil changes."
101,June 2014,snakeweasel,"@stickguy said:
Farmer, the I6 is extremely durable engine. If you are willing to maintain the car ($$) right, no reason it can't go that far. Just have to replace the various valves and sensors (commonly known failure points) as needed, and keep up with fluids.
that particular car? Pass, with the body damage.",And tire rotations
102,June 2014,driver100,No Quote,"Farmer, the I6 is extremely durable engine. If you are willing to maintain the car ($$) right, no reason it can't go that far. Just have to replace the various valves and sensors (commonly known failure points) as needed, and keep up with fluids."
103,June 2014,sterlingdog,No Quote,"that particular car? Pass, with the body damage."
104,June 2014,stickguy,No Quote,"Durable engine or not it is still 15 years old with nearly 200K miles on it. That makes it a crap shoot regardless of the price, to much of a possibility that it would be a rolling money pit."
105,June 2014,mako1a,No Quote,"Cheerio from the ferrie from Wales to Ireland...4 hours!
Wi Fi is on and off and days are long. I'll have to catch up when I get back...Mon June 30."
106,June 2014,imidazol97,@sterlingdog said:,Richard I saw the post with your student who had a sign...10 items or FEWER. Probably the only grammatically correct supermarket in the USA!
107,June 2014,imidazol97,"@sterlingdog said:
I could just use my bookmark once or twice a day to check on posts here. Help!\","I think that I have spoken too soon. I mentioned that I was happy to be receiving an email alert when people post on this forum. Now I am receiving an email alert for every single post! This could turn into a nightmare on a busy day for my inbox. Is this happening to anyone else? My question is this: Can my account be alerted once a day like it used to be and, if not, how do I turn off the email alert for this site? I could just use my bookmark once or twice a day to check on posts here. Help!"
108,June 2014,sterlingdog,No Quote,Richard
109,June 2014,abacomike,No Quote,"I turned off the notifications. there were I believe different options (all new posts, replay to my post) but i don't need the emails. I just check in and see what is in the bookmarks."
110,June 2014,isellhondas,@snakeweasel said:,"Richard, I leave this site up 24 hrs along with a few others so that when I hit refresh, it goes to where I left off and I just scroll down. You don't need an email stating there are new posts...there will always be new posts. (especially when driver gets back from his vacation)."
111,June 2014,isellhondas,"@abacomike said:
""SALES EXPERIENCE""

My downstairs neighbor went to the Toyota Dealership yesterday and called me this morning to ask if I could get him a good deal on a new Camry. I agreed to accompany him back at noon this afternoon.

We met the salesman who worked with him yesterday at 12:15 PM this afternoon. The car he was looking at was a 2014 Camry LE 4 cyl base car with cloth interior. MSRP was $24,523 and the Edmunds Tru-Value price $21,523.

He wanted a better deal than the Tru-Value price. The dealer had offered to sell the car for $22,125 + dealer fees of $599. I showed him my old business card and told him we would buy the car right now for $20,000 including dealer fees + tax, tags and title fees.

After about 20 minutes, as expected, he returned with the manager. He introduced himself and asked if I knew what the invoice price of the car was. I responded $22,418, but Edmunds Tru-value price was $21,523. I told him I knew the 2015's were due out with a complete re-styling in a few weeks and that we were buying a car that would be worth thousands less because of the new model.

He asked if we would consider a red sedan, and I then said, in front of the manager, that we were on our way to an AutoNation dealership where I knew I could get my price. He relented and gave us the deal I proposed - $20,000 including fees +tax +tags + title. He drove his car home with me following in my car. Luckily he had no trade as he was selling his old car to one of the guys in the building next to ours.

I am sure he still made a few bucks because there are some great incentives available to the dealer to reduce their 2014 inventories.

The Edmunds Tru-Market Value pricing is a good start, but there are better deals out there if you know how to negotiate.

Now, one of my Dad's old golfing buddies wants me to help him buy a new Sonata. I figure what the heck - I have nothing else to do with my time and Dad appreciated my consenting to help one of his old cronies.",I mentioned that I was happy to be receiving an email alert when people post on this forum.
112,June 2014,ab348,"@abacomike said:
We met the salesman who worked with him yesterday at 12:15 PM this afternoon. The car he was looking at was a 2014 Camry LE 4 cyl base car with cloth interior.",This is the page you need. Uncheck some of the notification boxes.
113,June 2014,abacomike,No Quote,
114,June 2014,abacomike,No Quote,"To get there, click on your username in the box at the right on every page."
115,June 2014,imidazol97,"@isellhondas said:
Wow, there must be a HUGE gap between invoice and MSRP on Toyotas or a ton of trunk money! Hondas never had that kind of room!","Then click on ""Edit Profile"""
116,June 2014,ab348,"@abacomike said:
WHY WHAT??????

I have no idea what you are trying to communicate!!!!!!!","Then click on ""Notification preferences."""
117,June 2014,oldfarmer50,No Quote,Then uncheck the types of notication you don't want.
118,June 2014,oldfarmer50,@imidazol97 said:,These are the ones I have checked:
119,June 2014,abacomike,No Quote,
120,June 2014,stickguy,No Quote,"As long as you have clicked on the star at the top of ""Buying and Selling Cars..."" and it is yellow,
this topic will show up in the your bookmarked list just like the ""Stories from the Sales Frontlines""
used to do (still does)."
121,June 2014,stickguy,"@oldfarmer50 said:
Local screamer dealer is offering $4000 off on all 2014 VW GTIs. Is that good?
Not a VW guy but that sounds like a lot.","Would not be surprised. The 2015s are on the ground (I saw 2 of them Thursday at the dealer, and they are very nice, and IMO a big improvement), so the 14's are day old bread at this point. Still, they don't tend to have that many in stock, so a bit surprising they are knocking off that much (unless of course they are working off a dealer addendum sticker to cook the books)."
122,June 2014,stever,"@imidazol97 said:
So there must be quite a bit of hidden factory to dealer money as the end of the model year approaches.",I should probably add VW dealers to the list of places I better stay away from.
123,June 2014,oldfarmer50,No Quote,Invoice pricing doesn't mean what it used to.
124,June 2014,abacomike,No Quote,"""Automakers have fattened dealers' ""invoice"" or wholesale price so it looks as if they're paying a lot more than they used to — perhaps 95% of the retail sticker price, vs. 85% before Internet car shopping began in the mid-1990s."""
125,June 2014,sterlingdog,"@abacomike said:
oldfarmer said:

""That guy standing outside your gate waiting for the next 80 year old to sell at 17,000 miles is me. ""

I'll post your interest on the bulletin boards. What usually happens here is the children of those 80+ year olds sell the car the day after their father's funeral - I kid you not!",Surprising tips for car shopping in Internet age (USA Today)
126,June 2014,stickguy,No Quote,"""The one he sold to the guy in the next building was a base 2008 Camry with 17,000 miles on it. The guy gave him $9500 for it."""
127,June 2014,bwia,"@stever said:
""Automakers have fattened dealers' ""invoice"" or wholesale price so it looks as if they're paying a lot more than they used to — perhaps 95% of the retail sticker price, vs. 85% before Internet car shopping began in the mid-1990s.""
Surprising tips for car shopping in Internet age (USA Today)","That guy standing outside your gate waiting for the next 80 year old to sell at 17,000 miles is me."
128,June 2014,imidazol97,"@bwia said:
By extension, if we apply this pricing formula to the sale of the car itself we can see that invoice is quite meaningless. Even the so-called experts, according to USA Today, said they didn't know what invoice is/was, yet they continue to publish this dribble.","Mike, you are so right. One of my wife's friends died last year. A week later, her two children had sold both cars and the house was completely empty with a ""For Sale"" sign out front. I couldn't work that fast if I did it to myself!"
